predictor_a,predictor_b,length_bin,n_common_proteins,protein_mean_score_spearman
atlas,DisoFLAG,<200,3847,0.6873972800467926
atlas,DisoFLAG,200-499,8715,0.7845934166241888
atlas,DisoFLAG,500-999,5675,0.7603791312310599
atlas,DisoFLAG,>=1000,1958,0.6834581967326321
atlas,DisorderUnetLM,<200,3847,0.7498822920831497
atlas,DisorderUnetLM,200-499,8715,0.7986854009884049
atlas,DisorderUnetLM,500-999,5675,0.6614705308781796
atlas,DisorderUnetLM,>=1000,2422,0.5480333586237734
atlas,DisPredict3,<200,3835,0.6658605225247634
atlas,DisPredict3,200-499,8705,0.6973175326917156
atlas,DisPredict3,500-999,5670,0.4738524270636935
atlas,DisPredict3,>=1000,2386,0.40381211021479707
plddt,disprot,<200,3847,0.9097035118873859
plddt,disprot,200-499,8715,0.9553934260264684
plddt,disprot,500-999,5675,0.9771894076037485
plddt,disprot,>=1000,2422,0.9815766396095825
plddt,SETH,<200,3847,0.874215934204969
plddt,SETH,200-499,8715,0.8983470941562741
plddt,SETH,500-999,5675,0.9183099769375493
plddt,SETH,>=1000,2422,0.9534990037558649
plddt,IUPred3,<200,3847,0.37107667279016293
plddt,IUPred3,200-499,8715,0.6467423416647422
plddt,IUPred3,500-999,5675,0.7912304438347343
plddt,IUPred3,>=1000,2422,0.8611873853907558
plddt,ADOPT,<200,3847,0.8931461920431975
plddt,ADOPT,200-499,8715,0.8825940471444562
plddt,ADOPT,500-999,5675,0.9404586970729841
plddt,ADOPT,>=1000,2422,0.9091549260873303
plddt,metapredict,<200,3847,0.8303976213869617
plddt,metapredict,200-499,8715,0.9062203795843787
plddt,metapredict,500-999,5675,0.9568171993602108
plddt,metapredict,>=1000,2422,0.9690399576062957
plddt,PUNCH2_light,<200,3746,0.87777186198534
plddt,PUNCH2_light,200-499,8704,0.9253423581506853
plddt,PUNCH2_light,500-999,5670,0.9588260786159641
plddt,PUNCH2_light,>=1000,1957,0.9697423492074597
plddt,DisoFLAG,<200,3847,0.5877091410952163
plddt,DisoFLAG,200-499,8715,0.7447675236147179
plddt,DisoFLAG,500-999,5675,0.8088465217096636
plddt,DisoFLAG,>=1000,1958,0.7619839953612603
plddt,DisorderUnetLM,<200,3847,0.8022628050203536
plddt,DisorderUnetLM,200-499,8715,0.7916445651421631
plddt,DisorderUnetLM,500-999,5675,0.6884965703815759
plddt,DisorderUnetLM,>=1000,2422,0.6282013240094451
plddt,DisPredict3,<200,3835,0.5086228027572237
plddt,DisPredict3,200-499,8705,0.6356118256574707
plddt,DisPredict3,500-999,5670,0.49144096617152916
plddt,DisPredict3,>=1000,2386,0.4440198540285323
disprot,SETH,<200,3847,0.9075243029933997
disprot,SETH,200-499,8715,0.8899311234953426
disprot,SETH,500-999,5675,0.9106178665186996
disprot,SETH,>=1000,2422,0.9392190714103379
disprot,IUPred3,<200,3847,0.38951692539307736
disprot,IUPred3,200-499,8715,0.744690037615295
disprot,IUPred3,500-999,5675,0.837993651923289
disprot,IUPred3,>=1000,2422,0.9042430449624353
disprot,ADOPT,<200,3847,0.8954204792581869
disprot,ADOPT,200-499,8715,0.9032537804231408
disprot,ADOPT,500-999,5675,0.9435995990921644
disprot,ADOPT,>=1000,2422,0.8987522919745223
disprot,metapredict,<200,3847,0.8421200841074341
disprot,metapredict,200-499,8715,0.9382538840211082
disprot,metapredict,500-999,5675,0.9576611618411811
disprot,metapredict,>=1000,2422,0.9667015660409047
disprot,PUNCH2_light,<200,3746,0.8777049890505497
disprot,PUNCH2_light,200-499,8704,0.9619660689895375
disprot,PUNCH2_light,500-999,5670,0.967847970207122
disprot,PUNCH2_light,>=1000,1957,0.9688256307941152
disprot,DisoFLAG,<200,3847,0.7275975180699552
disprot,DisoFLAG,200-499,8715,0.8194602771248535
disprot,DisoFLAG,500-999,5675,0.8192067477057244
disprot,DisoFLAG,>=1000,1958,0.7389504733747997
disprot,DisorderUnetLM,<200,3847,0.8754477557458618
disprot,DisorderUnetLM,200-499,8715,0.8462832291013643
disprot,DisorderUnetLM,500-999,5675,0.707917079840364
disprot,DisorderUnetLM,>=1000,2422,0.6176888046139704
disprot,DisPredict3,<200,3835,0.6807560646985282
disprot,DisPredict3,200-499,8705,0.7170846535629152
disprot,DisPredict3,500-999,5670,0.5172430604831976
disprot,DisPredict3,>=1000,2386,0.42150890607126756
SETH,IUPred3,<200,3847,0.4731549890872909
SETH,IUPred3,200-499,8715,0.7011154481249499
SETH,IUPred3,500-999,5675,0.7788787575478767
SETH,IUPred3,>=1000,2422,0.8536959760914702
SETH,ADOPT,<200,3847,0.9403860778982788
SETH,ADOPT,200-499,8715,0.9163052398284465
SETH,ADOPT,500-999,5675,0.9448318891626785
SETH,ADOPT,>=1000,2422,0.9071875790557866
SETH,metapredict,<200,3847,0.8663938014515045
SETH,metapredict,200-499,8715,0.8919092208938169
SETH,metapredict,500-999,5675,0.9209343019854446
SETH,metapredict,>=1000,2422,0.9516302647071695
SETH,PUNCH2_light,<200,3746,0.8811639929792227
SETH,PUNCH2_light,200-499,8704,0.9039876990924395
SETH,PUNCH2_light,500-999,5670,0.9420480700180067
SETH,PUNCH2_light,>=1000,1957,0.9616824630218338
SETH,DisoFLAG,<200,3847,0.7315591840201556
SETH,DisoFLAG,200-499,8715,0.7539674848585427
SETH,DisoFLAG,500-999,5675,0.808766783230149
SETH,DisoFLAG,>=1000,1958,0.7482198189115513
SETH,DisorderUnetLM,<200,3847,0.9099396001176504
SETH,DisorderUnetLM,200-499,8715,0.8098701550002025
SETH,DisorderUnetLM,500-999,5675,0.747460050854616
SETH,DisorderUnetLM,>=1000,2422,0.6763509415956931
SETH,DisPredict3,<200,3835,0.6319913386469139
SETH,DisPredict3,200-499,8705,0.6284469694995215
SETH,DisPredict3,500-999,5670,0.45537338215783824
SETH,DisPredict3,>=1000,2386,0.47761308699159294
IUPred3,ADOPT,<200,3847,0.45996469855930994
IUPred3,ADOPT,200-499,8715,0.7460545300853672
IUPred3,ADOPT,500-999,5675,0.8142721746935042
IUPred3,ADOPT,>=1000,2422,0.8117664615914656
IUPred3,metapredict,<200,3847,0.4687891508816331
IUPred3,metapredict,200-499,8715,0.7873423826092173
IUPred3,metapredict,500-999,5675,0.846985212641966
IUPred3,metapredict,>=1000,2422,0.8882821340656802
IUPred3,PUNCH2_light,<200,3746,0.4567541917333296
IUPred3,PUNCH2_light,200-499,8704,0.7596717934686804
IUPred3,PUNCH2_light,500-999,5670,0.8341229057332965
IUPred3,PUNCH2_light,>=1000,1957,0.891806427793812
IUPred3,DisoFLAG,<200,3847,0.45992649322964896
IUPred3,DisoFLAG,200-499,8715,0.72202634457529
IUPred3,DisoFLAG,500-999,5675,0.6687879212030449
IUPred3,DisoFLAG,>=1000,1958,0.6079433422258916
IUPred3,DisorderUnetLM,<200,3847,0.4783410704048382
IUPred3,DisorderUnetLM,200-499,8715,0.6814528209419676
IUPred3,DisorderUnetLM,500-999,5675,0.5831227808093374
IUPred3,DisorderUnetLM,>=1000,2422,0.5292103398246375
IUPred3,DisPredict3,<200,3835,0.46095340076093094
IUPred3,DisPredict3,200-499,8705,0.6531980954671391
IUPred3,DisPredict3,500-999,5670,0.47365536073149883
IUPred3,DisPredict3,>=1000,2386,0.3547753795429041
ADOPT,metapredict,<200,3847,0.8767085839683388
ADOPT,metapredict,200-499,8715,0.8951756227191499
ADOPT,metapredict,500-999,5675,0.9361900980048378
ADOPT,metapredict,>=1000,2422,0.8895122774705447
ADOPT,PUNCH2_light,<200,3746,0.8506564804786854
ADOPT,PUNCH2_light,200-499,8704,0.9004901781228004
ADOPT,PUNCH2_light,500-999,5670,0.9455686260416496
ADOPT,PUNCH2_light,>=1000,1957,0.9200962647676469
ADOPT,DisoFLAG,<200,3847,0.6732959103100613
ADOPT,DisoFLAG,200-499,8715,0.7895007154112094
ADOPT,DisoFLAG,500-999,5675,0.8176508701433205
ADOPT,DisoFLAG,>=1000,1958,0.7146298389366749
ADOPT,DisorderUnetLM,<200,3847,0.886464501785291
ADOPT,DisorderUnetLM,200-499,8715,0.8180124929840316
