dataset_a,dataset_b,comparison_level,match_mode,min_identity,min_coverage,n_proteins_overlap,n_residues_compared,annotation_type_a,annotation_type_b,metric,value,threshold_used,notes
softdis,plddt,exact,sequence,,,10,2521,continuous,continuous,protein_pearson,0.650692,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
softdis,plddt,exact,sequence,,,10,2521,continuous,continuous,protein_mae,0.143300,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
softdis,plddt,exact,sequence,,,10,2521,continuous,continuous,protein_rmse,0.160430,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
softdis,disprot,exact,sequence,,,8,2642,continuous,binary,auroc,0.929907,0.5,
softdis,disprot,exact,sequence,,,8,2642,continuous,binary,average_precision,0.557933,0.5,
softdis,disprot,exact,sequence,,,8,2642,continuous,binary,f1_thresholded,0.522782,0.5,
softdis,disprot,exact,sequence,,,8,2642,continuous,binary,spearman,0.488921,0.5,
softdis,disprot,exact,sequence,,,8,2642,continuous,binary,protein_spearman,0.761905,0.5,
softdis,disprot,exact,sequence,,,8,2642,continuous,binary,protein_pearson,0.989019,0.5,
softdis,disprot,exact,sequence,,,8,2642,continuous,binary,protein_mae,0.106462,0.5,
softdis,disprot,exact,sequence,,,8,2642,continuous,binary,protein_rmse,0.120343,0.5,
pdbflex,atlas,exact,sequence,,,25,2587,continuous,continuous,spearman,0.111006,0.5,
pdbflex,atlas,exact,sequence,,,25,2587,continuous,continuous,pearson,0.006635,0.5,
pdbflex,atlas,exact,sequence,,,25,2587,continuous,continuous,mae,0.905405,0.5,
pdbflex,atlas,exact,sequence,,,25,2587,continuous,continuous,rmse,1.718295,0.5,
pdbflex,atlas,exact,sequence,,,25,2587,continuous,continuous,protein_spearman,0.144259,0.5,
pdbflex,atlas,exact,sequence,,,25,2587,continuous,continuous,protein_pearson,0.060739,0.5,
pdbflex,atlas,exact,sequence,,,25,2587,continuous,continuous,protein_mae,0.704798,0.5,
pdbflex,atlas,exact,sequence,,,25,2587,continuous,continuous,protein_rmse,1.025766,0.5,
pdbflex,plddt,exact,sequence,,,6,1412,continuous,continuous,spearman,0.011500,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
pdbflex,plddt,exact,sequence,,,6,1412,continuous,continuous,pearson,0.088403,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
pdbflex,plddt,exact,sequence,,,6,1412,continuous,continuous,mae,0.264106,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
pdbflex,plddt,exact,sequence,,,6,1412,continuous,continuous,rmse,0.729843,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
