dataset_a,dataset_b,comparison_level,match_mode,min_identity,min_coverage,n_proteins_overlap,n_residues_compared,annotation_type_a,annotation_type_b,metric,value,threshold_used,notes
trizod,softdis,mmseqs_90,mmseqs,90.0,0.8,45,5302,continuous,continuous,mae,0.155339,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,softdis,mmseqs_90,mmseqs,90.0,0.8,45,5302,continuous,continuous,rmse,0.248235,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,softdis,mmseqs_85,mmseqs,85.0,0.8,50,5793,continuous,continuous,spearman,0.312108,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,softdis,mmseqs_85,mmseqs,85.0,0.8,50,5793,continuous,continuous,pearson,0.453461,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,softdis,mmseqs_85,mmseqs,85.0,0.8,50,5793,continuous,continuous,mae,0.155540,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,softdis,mmseqs_85,mmseqs,85.0,0.8,50,5793,continuous,continuous,rmse,0.248469,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,softdis,mmseqs_80,mmseqs,80.0,0.8,51,5847,continuous,continuous,spearman,0.308778,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,softdis,mmseqs_80,mmseqs,80.0,0.8,51,5847,continuous,continuous,pearson,0.452943,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,softdis,mmseqs_80,mmseqs,80.0,0.8,51,5847,continuous,continuous,mae,0.155041,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,softdis,mmseqs_80,mmseqs,80.0,0.8,51,5847,continuous,continuous,rmse,0.247657,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,pdbflex,exact,sequence,,,4,525,continuous,continuous,spearman,0.174514,0.5,
trizod,pdbflex,exact,sequence,,,4,525,continuous,continuous,pearson,0.215995,0.5,
trizod,pdbflex,exact,sequence,,,4,525,continuous,continuous,mae,0.263474,0.5,
trizod,pdbflex,exact,sequence,,,4,525,continuous,continuous,rmse,0.781212,0.5,
trizod,pdbflex,mmseqs_100,mmseqs,100.0,0.8,24,2578,continuous,continuous,spearman,0.147154,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,pdbflex,mmseqs_100,mmseqs,100.0,0.8,24,2578,continuous,continuous,pearson,0.147605,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,pdbflex,mmseqs_100,mmseqs,100.0,0.8,24,2578,continuous,continuous,mae,0.269604,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,pdbflex,mmseqs_100,mmseqs,100.0,0.8,24,2578,continuous,continuous,rmse,0.850228,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,pdbflex,mmseqs_98,mmseqs,98.0,0.8,38,4629,continuous,continuous,spearman,0.142040,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,pdbflex,mmseqs_98,mmseqs,98.0,0.8,38,4629,continuous,continuous,pearson,0.077192,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,pdbflex,mmseqs_98,mmseqs,98.0,0.8,38,4629,continuous,continuous,mae,0.300971,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,pdbflex,mmseqs_98,mmseqs,98.0,0.8,38,4629,continuous,continuous,rmse,1.202487,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,pdbflex,mmseqs_95,mmseqs,95.0,0.8,40,4816,continuous,continuous,spearman,0.146682,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,pdbflex,mmseqs_95,mmseqs,95.0,0.8,40,4816,continuous,continuous,pearson,0.079621,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,pdbflex,mmseqs_95,mmseqs,95.0,0.8,40,4816,continuous,continuous,mae,0.295376,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,pdbflex,mmseqs_95,mmseqs,95.0,0.8,40,4816,continuous,continuous,rmse,1.181237,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,pdbflex,mmseqs_90,mmseqs,90.0,0.8,43,5096,continuous,continuous,spearman,0.144694,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,pdbflex,mmseqs_90,mmseqs,90.0,0.8,43,5096,continuous,continuous,pearson,0.072872,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,pdbflex,mmseqs_90,mmseqs,90.0,0.8,43,5096,continuous,continuous,mae,0.303821,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,pdbflex,mmseqs_90,mmseqs,90.0,0.8,43,5096,continuous,continuous,rmse,1.189430,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,pdbflex,mmseqs_85,mmseqs,85.0,0.8,46,5395,continuous,continuous,spearman,0.143018,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,pdbflex,mmseqs_85,mmseqs,85.0,0.8,46,5395,continuous,continuous,pearson,0.085700,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,pdbflex,mmseqs_85,mmseqs,85.0,0.8,46,5395,continuous,continuous,mae,0.306991,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,pdbflex,mmseqs_85,mmseqs,85.0,0.8,46,5395,continuous,continuous,rmse,1.192564,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,pdbflex,mmseqs_80,mmseqs,80.0,0.8,47,5502,continuous,continuous,spearman,0.142931,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,pdbflex,mmseqs_80,mmseqs,80.0,0.8,47,5502,continuous,continuous,pearson,0.086013,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,pdbflex,mmseqs_80,mmseqs,80.0,0.8,47,5502,continuous,continuous,mae,0.301983,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,pdbflex,mmseqs_80,mmseqs,80.0,0.8,47,5502,continuous,continuous,rmse,1.180950,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,atlas,exact,none,,,0,0,continuous,continuous,no_overlap,,0.5,no exact ID or exact sequence overlap with enough comparable residues
trizod,atlas,mmseqs_100,mmseqs,100.0,0.8,5,533,continuous,continuous,spearman,0.288167,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,atlas,mmseqs_100,mmseqs,100.0,0.8,5,533,continuous,continuous,pearson,0.457775,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,atlas,mmseqs_100,mmseqs,100.0,0.8,5,533,continuous,continuous,mae,0.448240,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,atlas,mmseqs_100,mmseqs,100.0,0.8,5,533,continuous,continuous,rmse,0.495997,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,atlas,mmseqs_98,mmseqs,98.0,0.8,7,1106,continuous,continuous,spearman,0.143728,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,atlas,mmseqs_98,mmseqs,98.0,0.8,7,1106,continuous,continuous,pearson,0.383449,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,atlas,mmseqs_98,mmseqs,98.0,0.8,7,1106,continuous,continuous,mae,0.419790,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,atlas,mmseqs_98,mmseqs,98.0,0.8,7,1106,continuous,continuous,rmse,0.471791,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,atlas,mmseqs_95,mmseqs,95.0,0.8,7,1106,continuous,continuous,spearman,0.143728,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,atlas,mmseqs_95,mmseqs,95.0,0.8,7,1106,continuous,continuous,pearson,0.383449,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,atlas,mmseqs_95,mmseqs,95.0,0.8,7,1106,continuous,continuous,mae,0.419790,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,atlas,mmseqs_95,mmseqs,95.0,0.8,7,1106,continuous,continuous,rmse,0.471791,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,atlas,mmseqs_90,mmseqs,90.0,0.8,8,1232,continuous,continuous,spearman,0.173232,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,atlas,mmseqs_90,mmseqs,90.0,0.8,8,1232,continuous,continuous,pearson,0.421801,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
